类别,标准编号,标准名称
装备技术,TB/T2981-2000,材料燃烧最高热值的确定
装备技术,TB/T2989-2023,机车车辆驱动齿轮箱 牵引齿轮
装备技术,TB/T2993.1-2016,铁路通信电源 第1部分：通信电源系统总技术要求
装备技术,TB/T2993.2-2016,铁路通信电源 第2部分：通信用高频开关电源系统
装备技术,TB/T2993.3-2016,铁路通信电源 第3部分：通信用不间断电源设备
装备技术,TB/T2993.4-2016,铁路通信电源 第4部分：通信用高频开关整流设备
装备技术,TB/T2993.5-2016,铁路通信电源 第5部分：交流配电设备
装备技术,TB/T2993.6-2016,铁路通信电源 第6部分：直流配电设备
装备技术,TB/T3003-2013,机车车辆用截断塞门
装备技术,TB/T3005-2008,机车用粉末冶金闸瓦
装备技术,TB/T3009-2019,机车车辆制动系统用防滑装置
装备技术,TB/T3012-2016,铁道货车铸钢摇枕、侧架
装备技术,TB/T3016-2001,内燃机车柴油机排气不透光度测量
装备技术,TB/T3025-2016,铁路数字式语音记录仪
装备技术,TB/T3027-2015,铁路车站计算机联锁技术条件
装备技术,TB/T3031-2002,铁路用辗钢整体车轮径向全截面低倍组织缺陷的评定
装备技术,TB/T3035-2002,列车通信网络
装备技术,TB/T3036-2016,电气化铁路接触网用分段绝缘器
装备技术,TB/T3037-2002,25kV电气化铁道接触网用分相绝缘器
装备技术,TB/T3038-2002,电气化铁道50kV、25kV电压互感器
装备技术,TB/T3039-2002,电气化铁道50kV、25kV电流互感器
装备技术,TB/T304-2018,机车用储风缸
装备技术,TB/T3040-2002,电气化铁道干式空心串联电抗器技术条件
装备技术,TB/T3042-2016,铁路道岔型号编制方法
装备技术,TB/T3043-2018,客货共线铁路预制后张法预应力混凝土简支梁
装备技术,TB/T3050-2022,铁路环境测量 环境噪声测量
装备技术,TB/T3051.2-2016,机车、动车组用电笛、风笛 第2部分：风笛
装备技术,TB/T3060-2016,机车信号信息定义及分配
装备技术,TB/T3061-2016,机车车辆用蓄电池
装备技术,TB/T3064-2016,轨道动力稳定车
装备技术,TB/T3065-2020,弹条II型扣件
装备技术,TB/T3067-2017,机车车辆制动管系用法兰接头
装备技术,TB/T3069-2021,ZDJ10型电动转辙机
装备技术,TB/T3071-2016,配砟整形车
装备技术,TB/T3074-2017,铁路信号设备雷电电磁脉冲防护技术条件
装备技术,TB/T3077-2017,机车车辆车顶绝缘子
装备技术,TB/T3079.1-2016,铁路货物装载加固材料和装置 第1部分：货物转向架
装备技术,TB/T3079.2-2003,装载加固材料和装置 第2部分：条形草支垫
装备技术,TB/T3079.3-2005,装载加固材料和装置 第3部分：铁泥塑料挡
装备技术,TB/T3079.4-2005,装载加固材料和装置 第4部分：上封式绳网
